id,split,wall_num,total_length,best_frame_deg,mean_residual_deg,max_residual_deg,max_adjacent_deviation_deg,non90_corner_count,atlanta_candidate,reason
17DRP5sb8fy_08115b08da534f1aafff2fa81fc73512,train,8,66.837204,0.000,0.000,0.000,0.000,0,0,Manhattan-like
17DRP5sb8fy_10c252c90fa24ef3b698c6f54d984c5c,train,6,22.048875,0.000,0.000,0.000,0.000,0,0,Manhattan-like
17DRP5sb8fy_51857544c192476faebf212acb1b3d90,train,10,26.401328,0.000,0.000,0.000,0.000,0,0,Manhattan-like
17DRP5sb8fy_8ccf449f599a4cd88648e1d0ff39fdd0,train,8,14.586032,0.000,0.000,0.000,0.000,0,0,Manhattan-like
17DRP5sb8fy_cb6a9786e4ff47f79a11b024c36ef7c0,train,6,24.917435,0.000,0.000,0.000,0.000,0,0,Manhattan-like
17DRP5sb8fy_e0ce09f0178c48e2bbe649d2bf659702,train,4,9.167515,0.000,0.000,0.000,0.000,0,0,Manhattan-like
17DRP5sb8fy_e34dcf54d26a4a95869cc8a0c01cd2be,train,8,39.635041,0.000,0.000,0.000,0.000,0,0,Manhattan-like
17DRP5sb8fy_e693b5de8ad84d4cb61a79ece2e66d11,train,4,20.989695,0.000,0.000,0.000,0.000,0,0,Manhattan-like
17DRP5sb8fy_ee59d6b5e5da4def9fe85a8ba94ecf25,train,6,13.359038,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_36127c5e30e644799c0f1a1ecd4381ca,train,6,17.808820,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_4b77e304d83943999198c3cd4457512c,train,6,16.236730,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_5908a457f37a470aa0e8cd389f31d438,train,4,9.358555,0.000,0.000,0.000,0.000,0,0,Manhattan-like
1LXtFkjw3qL_60668601cee245e5bb27a12d0b022918,train,6,21.612917,0.000,0.000,0.000,0.000,0,0,Manhattan-like
